n,t,m,meth
1,0.00048804283142089844,76390400,projectq
1,0.03455209732055664,95006720,qiskit
1,5.2928924560546875e-05,62189568,ket
1,0.0001919269561767578,170201088,cirq
1,0.0004470348358154297,135458816,amazon
1,0.0002689361572265625,125431808,pennylane
1,0.268601762,26177536,qsharp
1,0.0032808780670166016,24920064,pytket
1,0.001057,2523136,quipper
2,0.0005919933319091797,76447744,projectq
2,0.00925898551940918,95002624,qiskit
2,0.00028395652770996094,61976576,ket
2,0.00024175643920898438,170549248,cirq
2,0.0005240440368652344,135585792,amazon
2,0.0003228187561035156,125693952,pennylane
2,0.040163459,26099712,qsharp
2,0.5866231918334961,62824448,pytket
2,0.000502,2658304,quipper
3,0.0023589134216308594,76431360,projectq
3,0.009922027587890625,95203328,qiskit
3,0.0003342628479003906,61992960,ket
3,0.0002810955047607422,170409984,cirq
3,0.0006787776947021484,135708672,amazon
3,0.0003991127014160156,125546496,pennylane
3,0.041975818,26251264,qsharp
3,0.31054210662841797,62758912,pytket
3,0.000562,2777088,quipper
4,0.0036661624908447266,76345344,projectq
4,0.010158061981201172,95264768,qiskit
4,0.0005266666412353516,62177280,ket
4,0.00040793418884277344,170508288,cirq
4,0.0008041858673095703,135577600,amazon
4,0.0004968643188476562,125669376,pennylane
4,0.040647548,26177536,qsharp
4,0.31458210945129395,62861312,pytket
4,0.000558,2883584,quipper
5,0.005676984786987305,76537856,projectq
5,0.010467052459716797,94961664,qiskit
5,0.0005509853363037109,62050304,ket
5,0.00044083595275878906,170168320,cirq
5,0.0015909671783447266,135487488,amazon
5,0.000614166259765625,125743104,pennylane
5,0.040426664,26132480,qsharp
5,0.3164680004119873,62853120,pytket
5,0.000666,3014656,quipper
6,0.008014678955078125,76439552,projectq
6,0.010856151580810547,95068160,qiskit
6,0.0007281303405761719,61906944,ket
6,0.0005240440368652344,170237952,cirq
6,0.0019109249114990234,135471104,amazon
6,0.0008280277252197266,125767680,pennylane
6,0.040417118,26140672,qsharp
6,0.30816197395324707,62771200,pytket
6,0.000853,3121152,quipper
8,0.014615058898925781,76374016,projectq
8,0.012069940567016602,95232000,qiskit
8,0.0009951591491699219,62033920,ket
8,0.0007390975952148438,170573824,cirq
8,0.002238035202026367,135614464,amazon
8,0.0011620521545410156,125743104,pennylane
8,0.040548984,26226688,qsharp
8,0.3147099018096924,63066112,pytket
8,0.000968,3133440,quipper
9,0.018538951873779297,76431360,projectq
9,0.012197256088256836,95174656,qiskit
9,0.0011026859283447266,61972480,ket
9,0.0009946823120117188,170360832,cirq
9,0.0025238990783691406,135458816,amazon
9,0.0013339519500732422,125480960,pennylane
9,0.04024367,26238976,qsharp
9,0.30842065811157227,62791680,pytket
9,0.001384,3289088,quipper
10,0.02344989776611328,76492800,projectq
10,0.013004064559936523,95219712,qiskit
10,0.0013530254364013672,62033920,ket
10,0.0009829998016357422,170373120,cirq
10,0.003074169158935547,135585792,amazon
10,0.0015769004821777344,125530112,pennylane
10,0.041348631,26394624,qsharp
10,0.3144950866699219,62935040,pytket
10,0.001458,3313664,quipper
12,0.03489398956298828,76435456,projectq
12,0.014194250106811523,95088640,qiskit
12,0.001767873764038086,62070784,ket
12,0.0013461112976074219,170504192,cirq
12,0.003509998321533203,135704576,amazon
12,0.0027451515197753906,125595648,pennylane
12,0.046348283,26644480,qsharp
12,0.3292081356048584,63045632,pytket
12,0.001741,3321856,quipper
14,0.050028085708618164,76484608,projectq
14,0.01662421226501465,95514624,qiskit
14,0.00225830078125,62062592,ket
14,0.0018410682678222656,170360832,cirq
14,0.004469156265258789,135909376,amazon
14,0.00360107421875,125804544,pennylane
14,0.04099995,26484736,qsharp
14,0.32271909713745117,63078400,pytket
14,0.002063,3338240,quipper
16,0.06659102439880371,76709888,projectq
16,0.017338991165161133,95481856,qiskit
16,0.002755880355834961,61952000,ket
16,0.002336740493774414,170287104,cirq
16,0.005589962005615234,135794688,amazon
16,0.003979682922363281,125587456,pennylane
16,0.042259871,26701824,qsharp
16,0.30643296241760254,63016960,pytket
16,0.002386,3358720,quipper
19,0.09794783592224121,76558336,projectq
19,0.020587921142578125,95567872,qiskit
19,0.003387928009033203,62189568,ket
19,0.0034389495849609375,170381312,cirq
19,0.007254123687744141,135852032,amazon
19,0.005197048187255859,125657088,pennylane
19,0.041646366,26918912,qsharp
19,0.3825080394744873,63197184,pytket
19,0.003363,3383296,quipper
22,0.13840579986572266,76742656,projectq
22,0.027090787887573242,95776768,qiskit
22,0.004506111145019531,62132224,ket
22,0.0051920413970947266,170180608,cirq
22,0.009499788284301758,136105984,amazon
22,0.006662845611572266,125837312,pennylane
22,0.043519095,27205632,qsharp
22,0.3147459030151367,63012864,pytket
22,0.003894,3457024,quipper
26,0.1986837387084961,76820480,projectq
26,0.02976393699645996,95920128,qiskit
26,0.005931854248046875,62091264,ket
26,0.007537841796875,170430464,cirq
26,0.013679027557373047,136642560,amazon
26,0.008949995040893555,125919232,pennylane
26,0.043974668,27557888,qsharp
26,0.6892561912536621,63442944,pytket
26,0.004962,3575808,quipper
30,0.2673320770263672,76791808,projectq
30,0.05192279815673828,96342016,qiskit
30,0.01175689697265625,62119936,ket
30,0.011753082275390625,170373120,cirq
30,0.01987600326538086,136515584,amazon
30,0.013867855072021484,126316544,pennylane
30,0.058823643,28131328,qsharp
30,0.5898458957672119,63123456,pytket
30,0.008303,3833856,quipper
35,0.4120519161224365,77189120,projectq
35,0.047410011291503906,96804864,qiskit
35,0.01011204719543457,62058496,ket
35,0.013873100280761719,170496000,cirq
35,0.022479772567749023,136933376,amazon
35,0.015187978744506836,126201856,pennylane
35,0.046057945,29327360,qsharp
35,0.31430602073669434,63299584,pytket
35,0.009354,4186112,quipper
41,0.5717208385467529,77365248,projectq
41,0.05811715126037598,97157120,qiskit
41,0.013293027877807617,62033920,ket
41,0.020032167434692383,170647552,cirq
41,0.030564069747924805,137670656,amazon
41,0.055776119232177734,126382080,pennylane
41,0.047917553,31256576,qsharp
41,0.32689881324768066,63426560,pytket
41,0.013204,4673536,quipper
48,0.8473989963531494,77549568,projectq
48,0.07357573509216309,98025472,qiskit
48,0.016614198684692383,62013440,ket
48,0.02944207191467285,170713088,cirq
48,0.05067706108093262,138530816,amazon
48,0.06683516502380371,127291392,pennylane
48,0.055997648,32747520,qsharp
48,0.3357119560241699,63721472,pytket
48,0.018969,4681728,quipper
56,1.2530758380889893,77926400,projectq
56,0.12472081184387207,98664448,qiskit
56,0.021502971649169922,61964288,ket
56,0.043627023696899414,171171840,cirq
56,0.055663108825683594,139223040,amazon
56,0.08473610877990723,127217664,pennylane
56,0.088059007,32948224,qsharp
56,0.3183150291442871,64032768,pytket
56,0.027165,4681728,quipper
66,1.8294661045074463,77717504,projectq
66,0.15909576416015625,100261888,qiskit
66,0.029540061950683594,62226432,ket
66,0.06624507904052734,171491328,cirq
66,0.07524609565734863,140365824,amazon
66,0.09681582450866699,128180224,pennylane
66,0.062258233,33263616,qsharp
66,0.32097315788269043,64409600,pytket
66,0.041057,4849664,quipper
77,2.7283010482788086,77832192,projectq
77,0.20851826667785645,101941248,qiskit
77,0.04029989242553711,62427136,ket
77,0.11539030075073242,172228608,cirq
77,0.10481691360473633,142147584,amazon
77,0.11818313598632812,129310720,pennylane
77,0.066981054,33464320,qsharp
77,0.36097002029418945,65556480,pytket
77,0.061182,5758976,quipper
90,5.5435709953308105,78073856,projectq
90,0.26909494400024414,105099264,qiskit
90,0.056407928466796875,62259200,ket
90,0.15414023399353027,172818432,cirq
90,0.20238399505615234,144883712,amazon
90,0.14653396606445312,130506752,pennylane
90,0.075688673,33611776,qsharp
